place,country,lat,lon,type
Devon,UK,50.77,-3.99,node
Brighton,UK,50.82,-0.13,node
Chicago,USA,41.88,-87.63,node
Dubai,Dubai,25.2,55.27,node
Hawaii,Hawaii,21.31,-157.86,node
Leeds,UK,53.8,-1.55,node
Manchester,UK,53.48,-2.24,node
North Caolina,USA,35.76,-79.02,node
Osaka,Japan,34.69,135.5,node
Paris,France,48.86,2.35,node
Philadelphia,USA,39.95,-75.17,node
Seoul,"Korea, Republic of",37.57,126.98,node
Trento,Italy,46.07,11.12,node
Buenos Aires,Argentina,-34.6,-58.38,node
Gothenburg,Sweeden,57.71,11.97,node
Moscow,Russia,55.76,37.62,node
Athens,Greece,37.98,23.73,node
Queensland,Australia,-27.46,153.02,node
Toronto,Canada,43.65,-79.38,node
Sheffield,UK,53.38,-1.47,node
Amsterdam,Netherlands,53.37,4.89,node
Rio,Brazil,-22.91,-43.17,node
